# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ2"
serial "470014042"
ip "192.168.1.33"
samplehz 50000.000000
settleus 1.000000
nsample 100000

# Analog Inputs
aichannel 1
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000

distream 1
# Meta Parameters
meta float
x 16.414141
meta end

## End Configuration ##
#: Mon Oct 14 14:29:11 2019
-2.704417e-01	6.553400e+04
1.292106e-01	6.553400e+04
-2.580409e-02	6.553400e+04
5.312153e-02	6.553400e+04
1.345779e-01	6.553400e+04
-1.154519e-01	6.553400e+04
7.711644e-02	6.553400e+04
1.276320e-01	6.553400e+04
-1.113483e-01	6.553400e+04
7.269632e-02	6.553400e+04
9.290256e-02	6.553400e+04
-1.590132e-01	6.553400e+04
1.118459e-01	6.553400e+04
7.585355e-02	6.553400e+04
-1.624855e-01	6.553400e+04
1.001642e-01	6.553400e+04
5.880453e-02	6.553400e+04
-3.155813e-01	6.553400e+04
1.004799e-01	6.553400e+04
3.196813e-02	6.553400e+04
-3.402028e-01	6.553400e+04
1.124773e-01	6.553400e+04
-5.286095e-03	6.553400e+04
-5.768589e-02	6.553400e+04
1.194232e-01	6.553400e+04
-4.726906e-02	6.553400e+04
8.122083e-02	6.553400e+04
8.469377e-02	6.553400e+04
-1.141893e-01	6.553400e+04
8.848245e-02	6.553400e+04
8.658811e-02	6.553400e+04
-1.429145e-01	6.553400e+04
1.108987e-01	6.553400e+04
7.143343e-02	6.553400e+04
-1.312350e-01	6.553400e+04
1.042686e-01	6.553400e+04
6.669760e-02	6.553400e+04
-2.417165e-01	6.553400e+04
1.143717e-01	6.553400e+04
3.259957e-02	6.553400e+04
-3.853424e-01	6.553400e+04
1.494169e-01	6.553400e+04
1.776062e-02	6.553400e+04
-2.306683e-01	6.553400e+04
1.102673e-01	6.553400e+04
-4.853171e-02	6.553400e+04
7.238060e-02	6.553400e+04
1.339465e-01	6.553400e+04
-9.524959e-02	6.553400e+04
6.732904e-02	6.553400e+04
1.045843e-01	6.553400e+04
-1.328133e-01	6.553400e+04
7.648499e-02	6.553400e+04
9.921701e-02	6.553400e+04
1.270906e-02	6.553400e+04
2.123357e-02	6.553400e+04
-1.822821e-02	6.553400e+04
-2.548843e-02	6.553400e+04
5.763168e-03	6.553400e+04
5.763168e-03	6.553400e+04
2.060212e-02	6.553400e+04
-2.355130e-04	6.553400e+04
-1.854387e-02	6.553400e+04
2.786374e-02	6.553400e+04
7.026057e-03	6.553400e+04
-3.495827e-02	6.553400e+04
3.354674e-02	6.553400e+04
1.839207e-02	6.553400e+04
-8.546409e-02	6.553400e+04
-8.758371e-03	6.553400e+04
1.712918e-02	6.553400e+04
-9.651224e-02	6.553400e+04
8.920392e-03	6.553400e+04
1.658776e-03	6.553400e+04
-6.873403e-02	6.553400e+04
3.859830e-02	6.553400e+04
-2.769805e-02	6.553400e+04
2.605943e-03	6.553400e+04
4.049264e-02	6.553400e+04
-1.822821e-02	6.553400e+04
2.596940e-02	6.553400e+04
2.154929e-02	6.553400e+04
-2.611975e-02	6.553400e+04
2.944235e-02	6.553400e+04
1.081473e-02	6.553400e+04
-1.885954e-02	6.553400e+04
1.555056e-02	6.553400e+04
1.681345e-02	6.553400e+04
-6.715573e-02	6.553400e+04
7.116087e-04	6.553400e+04
4.238697e-02	6.553400e+04
-1.198712e-01	6.553400e+04
-7.811387e-03	6.553400e+04
2.249646e-02	6.553400e+04
-8.862071e-02	6.553400e+04
9.551837e-03	6.553400e+04
-1.885954e-02	6.553400e+04
-1.475594e-02	6.553400e+04
1.081473e-02	6.553400e+04
-2.359446e-02	6.553400e+04
3.544107e-02	6.553400e+04
1.239334e-02	6.553400e+04
-3.906186e-02	6.553400e+04
4.459703e-02	6.553400e+04
3.133668e-02	6.553400e+04
-4.947869e-02	6.553400e+04
2.975807e-02	6.553400e+04
4.775425e-02	6.553400e+04
-8.735806e-02	6.553400e+04
3.354674e-02	6.553400e+04
2.249646e-02	6.553400e+04
-1.141893e-01	6.553400e+04
1.018328e-02	6.553400e+04
4.238697e-02	6.553400e+04
-1.343916e-01	6.553400e+04
2.154929e-02	6.553400e+04
1.997068e-02	6.553400e+04
-8.925202e-02	6.553400e+04
2.660085e-02	6.553400e+04
9.236114e-03	6.553400e+04
3.553111e-03	6.553400e+04
2.912663e-02	6.553400e+04
-8.442709e-03	6.553400e+04
1.586629e-02	6.553400e+04
9.551837e-03	6.553400e+04
-5.286095e-03	6.553400e+04
1.144617e-02	6.553400e+04
