# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ2"
serial "470014042"
ip "192.168.1.33"
samplehz 50000.000000
settleus 1.000000
nsample 100000

# Analog Inputs
aichannel 1
ainegative 199
airange 10.000000
airesolution 0
aicalslope 2.500000
aicalzero 0.000000
aicalunits "uA"

distream 1
# Meta Parameters
meta float
x 15.500000
y 1.000000
theta 0.227317
r 127.000000
vwire 20.000000
standoff 12.700000

meta string
who crm
rot ccw
meta end

## End Configuration ##
#: Thu Dec  5 09:41:00 2019
-3.937753e-02	6.553500e+04
-2.359446e-02	6.553500e+04
-9.389694e-03	6.553500e+04
-3.843054e-02	6.553500e+04
-1.822821e-02	6.553500e+04
-1.885954e-02	6.553500e+04
-4.663774e-02	6.553500e+04
-1.664991e-02	6.553500e+04
-1.570292e-02	6.553500e+04
-2.359446e-02	6.553500e+04
-2.517276e-02	6.553500e+04
-2.170049e-02	6.553500e+04
-3.622091e-02	6.553500e+04
-2.043784e-02	6.553500e+04
-1.286197e-02	6.553500e+04
-3.022335e-02	6.553500e+04
-1.822821e-02	6.553500e+04
-1.664991e-02	6.553500e+04
-3.053901e-02	6.553500e+04
-2.485710e-02	6.553500e+04
-2.012218e-02	6.553500e+04
-1.791255e-02	6.553500e+04
-1.286197e-02	6.553500e+04
-2.012218e-02	6.553500e+04
-6.864402e-03	6.553500e+04
-2.548843e-02	6.553500e+04
-1.696557e-02	6.553500e+04
-1.601858e-02	6.553500e+04
-1.254631e-02	6.553500e+04
-2.233181e-02	6.553500e+04
-1.159932e-02	6.553500e+04
-1.791255e-02	6.553500e+04
-4.158716e-02	6.553500e+04
-2.075350e-02	6.553500e+04
-1.538726e-02	6.553500e+04
-3.707788e-03	6.553500e+04
-2.896070e-02	6.553500e+04
-3.211731e-02	6.553500e+04
-1.065234e-02	6.553500e+04
-1.949086e-02	6.553500e+04
-2.548843e-02	6.553500e+04
-2.580409e-02	6.553500e+04
1.397195e-02	6.553500e+04
-1.885954e-02	6.553500e+04
-3.495827e-02	6.553500e+04
-2.264747e-02	6.553500e+04
-3.076466e-03	6.553500e+04
-1.128366e-02	6.553500e+04
-2.580409e-02	6.553500e+04
-1.570292e-02	6.553500e+04
2.605943e-03	6.553500e+04
-1.696557e-02	6.553500e+04
-3.432694e-02	6.553500e+04
-2.233181e-02	6.553500e+04
3.237388e-03	6.553500e+04
-1.813820e-03	6.553500e+04
-3.779922e-02	6.553500e+04
-2.012218e-02	6.553500e+04
-2.760804e-03	6.553500e+04
-1.002102e-02	6.553500e+04
-2.990768e-02	6.553500e+04
-2.138483e-02	6.553500e+04
7.026057e-03	6.553500e+04
-8.758371e-03	6.553500e+04
-3.053901e-02	6.553500e+04
-2.643541e-02	6.553500e+04
-5.601757e-03	6.553500e+04
-1.182497e-03	6.553500e+04
-2.422578e-02	6.553500e+04
-2.359446e-02	6.553500e+04
8.016390e-05	6.553500e+04
-1.191498e-02	6.553500e+04
-3.148599e-02	6.553500e+04
7.116087e-04	6.553500e+04
-9.705354e-03	6.553500e+04
-6.864402e-03	6.553500e+04
-1.475594e-02	6.553500e+04
-1.728123e-02	6.553500e+04
-1.444028e-02	6.553500e+04
-1.696557e-02	6.553500e+04
-1.444028e-02	6.553500e+04
-1.033668e-02	6.553500e+04
1.974498e-03	6.553500e+04
-1.728123e-02	6.553500e+04
-3.432694e-02	6.553500e+04
9.551837e-03	6.553500e+04
1.239334e-02	6.553500e+04
-3.937753e-02	6.553500e+04
-2.075350e-02	6.553500e+04
2.407507e-02	6.553500e+04
1.027331e-03	6.553500e+04
-4.442811e-02	6.553500e+04
-1.002102e-02	6.553500e+04
1.555056e-02	6.553500e+04
9.551837e-03	6.553500e+04
-1.570292e-02	6.553500e+04
-1.317763e-02	6.553500e+04
8.920392e-03	6.553500e+04
1.618201e-02	6.553500e+04
1.207762e-02	6.553500e+04
-2.043784e-02	6.553500e+04
-2.129481e-03	6.553500e+04
2.028640e-02	6.553500e+04
-2.129481e-03	6.553500e+04
-2.485710e-02	6.553500e+04
-1.822821e-02	6.553500e+04
2.605943e-03	6.553500e+04
1.658776e-03	6.553500e+04
-4.339111e-03	6.553500e+04
-1.822821e-02	6.553500e+04
-4.339111e-03	6.553500e+04
6.078890e-03	6.553500e+04
-1.696557e-02	6.553500e+04
-1.286197e-02	6.553500e+04
-8.127048e-03	6.553500e+04
1.974498e-03	6.553500e+04
7.026057e-03	6.553500e+04
-1.444028e-02	6.553500e+04
-1.065234e-02	6.553500e+04
5.131723e-03	6.553500e+04
